time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.9617486338797814,0.967032967032967,0.9643835616438357,0.9978500791701828,0.9918250665809137
36,1708,33,0.019320843091334895,0.8333333333333334,0.7575757575757576,0.7936507936507936,0.9978742650384441,0.9177991603294027
37,498,40,0.08032128514056225,0.96,0.6,0.7384615384615385,0.959688864628821,0.8330105191935157
38,756,111,0.14682539682539683,0.9883720930232558,0.7657657657657657,0.8629441624365483,0.9804385781129967,0.9511795775570319
39,1183,81,0.06846999154691462,0.96,0.8888888888888888,0.9230769230769231,0.9895364208733839,0.9389217358655002
40,1211,112,0.09248554913294797,0.9342105263157895,0.6339285714285714,0.7553191489361702,0.9001364877161055,0.7569794283937453
41,1132,116,0.10247349823321555,0.9714285714285714,0.8793103448275862,0.9230769230769231,0.9843028780885148,0.9570666499336945
42,2154,239,0.11095636025998143,0.9690721649484536,0.7866108786610879,0.8683602771362586,0.9606607164316069,0.8922392105931036
43,1370,24,0.017518248175182483,0.0,0.0,0.0,0.8347263496780585,0.049579797144390224
44,1591,24,0.01508485229415462,0.058823529411764705,0.041666666666666664,0.04878048780487805,0.7147947245266965,0.06646956637091873
45,1221,5,0.004095004095004095,0.0,0.0,0.0,0.7365953947368421,0.00933546361146235
46,712,2,0.0028089887640449437,0.3333333333333333,0.5,0.4,0.894718309859155,0.5065359477124183
47,846,22,0.026004728132387706,0.0,0.0,0.0,0.728127758164166,0.045717250144912
48,471,36,0.07643312101910828,0.0,0.0,0.0,0.8106641123882503,0.19093936959017915
49,476,56,0.11764705882352941,0.25,0.017857142857142856,0.03333333333333333,0.8111819727891156,0.26501808721773085
