time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.7261904761904762,0.6703296703296703,0.6971428571428572,0.9202704112108772,0.7355959819338527
36,1708,33,0.019320843091334895,0.08050847457627118,0.5757575757575758,0.1412639405204461,0.8287290818634102,0.19654850942032143
37,498,40,0.08032128514056225,0.323943661971831,0.575,0.4144144144144144,0.8395742358078603,0.4399407843496745
38,756,111,0.14682539682539683,0.373134328358209,0.6756756756756757,0.4807692307692308,0.8380054473077728,0.517981045061613
39,1183,81,0.06846999154691462,0.4409937888198758,0.8765432098765432,0.5867768595041323,0.9493681521812193,0.6282074560183968
40,1211,112,0.09248554913294797,0.2777777777777778,0.5357142857142857,0.36585365853658536,0.7642296568308851,0.2965742600783281
41,1132,116,0.10247349823321555,0.3785310734463277,0.5775862068965517,0.45733788395904434,0.8098739139288623,0.4756053176274481
42,2154,239,0.11095636025998143,0.5802469135802469,0.5899581589958159,0.5850622406639004,0.875630619312409,0.6095350166360798
43,1370,24,0.017518248175182483,0.00423728813559322,0.041666666666666664,0.007692307692307693,0.5554730064388311,0.018937389684984925
44,1591,24,0.01508485229415462,0.0,0.0,0.0,0.49024143799191666,0.014366497204928944
45,1221,5,0.004095004095004095,0.0,0.0,0.0,0.5611842105263158,0.005432860455124219
46,712,2,0.0028089887640449437,0.021739130434782608,0.5,0.041666666666666664,0.879225352112676,0.25578034682080925
47,846,22,0.026004728132387706,0.05263157894736842,0.045454545454545456,0.04878048780487805,0.633053839364519,0.03599819791602684
48,471,36,0.07643312101910828,0.0,0.0,0.0,0.8298850574712644,0.18929249169621232
49,476,56,0.11764705882352941,0.0,0.0,0.0,0.5099914965986394,0.11189143422151764
