time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.5591054313099042,0.9615384615384616,0.7070707070707071,0.9509642643810029,0.6258781794144154
36,1708,33,0.019320843091334895,0.0783132530120482,0.7878787878787878,0.14246575342465753,0.8798914518317503,0.10591537481269937
37,498,40,0.08032128514056225,0.2909090909090909,0.8,0.4266666666666667,0.8930403930131005,0.3258829074270916
38,756,111,0.14682539682539683,0.35036496350364965,0.8648648648648649,0.4987012987012987,0.8924086877575249,0.5202985918973547
39,1183,81,0.06846999154691462,0.2560553633217993,0.9135802469135802,0.4,0.9104602182339628,0.3598163180816649
40,1211,112,0.09248554913294797,0.25,0.8571428571428571,0.3870967741935484,0.8534138177564019,0.2996979990456917
41,1132,116,0.10247349823321555,0.2289156626506024,0.8189655172413793,0.3578154425612053,0.781487578061363,0.20433073344593047
42,2154,239,0.11095636025998143,0.3566666666666667,0.895397489539749,0.5101311084624554,0.9038760282727203,0.4239881338694042
43,1370,24,0.017518248175182483,0.013961605584642234,0.3333333333333333,0.02680067001675042,0.491115651312531,0.016257590539643884
44,1591,24,0.01508485229415462,0.01580135440180587,0.2916666666666667,0.029978586723768737,0.5415868964050202,0.03446259314195981
45,1221,5,0.004095004095004095,0.010416666666666666,0.4,0.02030456852791878,0.7934210526315789,0.013022253161021844
46,712,2,0.0028089887640449437,0.0136986301369863,1.0,0.02702702702702703,0.9517605633802817,0.06515151515151515
47,846,22,0.026004728132387706,0.043478260869565216,0.2727272727272727,0.075,0.7860216240070609,0.058392142907448125
48,471,36,0.07643312101910828,0.43636363636363634,0.6666666666666666,0.5274725274725275,0.9134738186462324,0.36086255821278185
49,476,56,0.11764705882352941,0.2692307692307692,0.375,0.31343283582089554,0.8497448979591837,0.3369497973577218
