time_step,basic_gcn_f1,n_labeled,illicit_rate,phase5_selected_f1,f1_delta
35,0.6971428571428572,1341,0.13571961222967935,0.7559055118110236,0.058762654668166436
36,0.1412639405204461,1708,0.019320843091334895,0.3125,0.1712360594795539
37,0.4144144144144144,498,0.08032128514056225,0.4752475247524752,0.060833110338060825
38,0.4807692307692308,756,0.14682539682539683,0.5836065573770491,0.10283732660781836
39,0.5867768595041323,1183,0.06846999154691462,0.717948717948718,0.13117185844458568
40,0.36585365853658536,1211,0.09248554913294797,0.5275590551181102,0.16170539658152483
41,0.45733788395904434,1132,0.10247349823321555,0.5435540069686411,0.08621612300959675
42,0.5850622406639004,2154,0.11095636025998143,0.6330097087378641,0.04794746807396366
43,0.007692307692307693,1370,0.017518248175182483,0.0,-0.007692307692307693
44,0.0,1591,0.01508485229415462,0.0425531914893617,0.0425531914893617
45,0.0,1221,0.004095004095004095,0.0,0.0
46,0.041666666666666664,712,0.0028089887640449437,0.07407407407407407,0.032407407407407406
47,0.04878048780487805,846,0.026004728132387706,0.0,-0.04878048780487805
48,0.0,471,0.07643312101910828,0.0,0.0
49,0.0,476,0.11764705882352941,0.023255813953488372,0.023255813953488372
