time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.7261904761904762,0.6703296703296703,0.6971428571428572,0.9202704112108772,0.7355959819338527
36,1708,33,0.019320843091334895,0.08823529411764706,0.6363636363636364,0.15498154981549817,0.837123473541384,0.2003093297117361
37,498,40,0.08032128514056225,0.39655172413793105,0.575,0.46938775510204084,0.8605895196506551,0.46935192123273767
38,756,111,0.14682539682539683,0.5342465753424658,0.7027027027027027,0.6070038910505836,0.8749354005167959,0.6430645474450576
39,1183,81,0.06846999154691462,0.5343511450381679,0.8641975308641975,0.660377358490566,0.9589354932670117,0.6762350201196587
40,1211,112,0.09248554913294797,0.3390804597701149,0.5267857142857143,0.4125874125874126,0.7952846743793058,0.4060441796408096
41,1132,116,0.10247349823321555,0.5535714285714286,0.5344827586206896,0.543859649122807,0.8316801859896823,0.5286265827210795
42,2154,239,0.11095636025998143,0.7555555555555555,0.5690376569037657,0.649164677804296,0.8925680325988398,0.6625623365339347
43,1370,24,0.017518248175182483,0.004694835680751174,0.041666666666666664,0.008438818565400843,0.5968301139177811,0.02095897294416267
44,1591,24,0.01508485229415462,0.0,0.0,0.0,0.5063018506700702,0.015194107099621981
45,1221,5,0.004095004095004095,0.0,0.0,0.0,0.5879934210526316,0.0057399336165777845
46,712,2,0.0028089887640449437,0.043478260869565216,0.5,0.08,0.9017605633802818,0.2570921985815603
47,846,22,0.026004728132387706,0.0,0.0,0.0,0.6865070609002648,0.04819419720719485
48,471,36,0.07643312101910828,0.0,0.0,0.0,0.8750319284802044,0.30317330937913506
49,476,56,0.11764705882352941,0.0,0.0,0.0,0.6287414965986394,0.16151268737417018
