time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.7236180904522613,0.7912087912087912,0.7559055118110236,0.9600072059088451,0.8212581281871859
36,1708,33,0.019320843091334895,0.2268041237113402,0.6666666666666666,0.3384615384615385,0.949452736318408,0.5314370193440784
37,498,40,0.08032128514056225,0.5652173913043478,0.65,0.6046511627906976,0.9307860262008735,0.7068532842093888
38,756,111,0.14682539682539683,0.7222222222222222,0.8198198198198198,0.7679324894514767,0.951058034778965,0.8573433395550845
39,1183,81,0.06846999154691462,0.6333333333333333,0.9382716049382716,0.7562189054726368,0.9828930563957787,0.8138332390291119
40,1211,112,0.09248554913294797,0.47770700636942676,0.6696428571428571,0.5576208178438662,0.8823199662030417,0.6134662176749004
41,1132,116,0.10247349823321555,0.5548387096774193,0.7413793103448276,0.6346863468634686,0.8481961037197936,0.6796843359798108
42,2154,239,0.11095636025998143,0.5927152317880795,0.7489539748953975,0.6617375231053605,0.9148431781683909,0.6538037094982265
43,1370,24,0.017518248175182483,0.0,0.0,0.0,0.6283432392273403,0.023148427671627073
44,1591,24,0.01508485229415462,0.03225806451612903,0.041666666666666664,0.03636363636363636,0.5564241650712614,0.057422534778467996
45,1221,5,0.004095004095004095,0.0,0.0,0.0,0.7800986842105263,0.012537968597467728
46,712,2,0.0028089887640449437,0.05,0.5,0.09090909090909091,0.8933098591549297,0.2565359477124183
47,846,22,0.026004728132387706,0.0,0.0,0.0,0.8097418358340689,0.07374032340764108
48,471,36,0.07643312101910828,0.0,0.0,0.0,0.9196679438058748,0.3784588575184906
49,476,56,0.11764705882352941,0.0,0.0,0.0,0.8531037414965987,0.30908328593863643
