time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.7236180904522613,0.7912087912087912,0.7559055118110236,0.9600072059088451,0.8212581281871859
36,1708,33,0.019320843091334895,0.21052631578947367,0.6060606060606061,0.3125,0.9383446404341926,0.48542539612914537
37,498,40,0.08032128514056225,0.39344262295081966,0.6,0.4752475247524752,0.915447598253275,0.6104367879973777
38,756,111,0.14682539682539683,0.4587628865979381,0.8018018018018018,0.5836065573770491,0.9004679097702354,0.6937137538180621
39,1183,81,0.06846999154691462,0.6140350877192983,0.8641975308641975,0.717948717948718,0.9739978938406041,0.7349613370413073
40,1211,112,0.09248554913294797,0.47183098591549294,0.5982142857142857,0.5275590551181102,0.863032952034317,0.5541099564710499
41,1132,116,0.10247349823321555,0.45614035087719296,0.6724137931034483,0.5435540069686411,0.8105442234591367,0.4992072807018669
42,2154,239,0.11095636025998143,0.5905797101449275,0.6820083682008368,0.6330097087378641,0.9066017020439823,0.5341421660408818
43,1370,24,0.017518248175182483,0.0,0.0,0.0,0.6198613174839029,0.022233147877809667
44,1591,24,0.01508485229415462,0.043478260869565216,0.041666666666666664,0.0425531914893617,0.5489789406509253,0.05753357342133363
45,1221,5,0.004095004095004095,0.0,0.0,0.0,0.7243421052631579,0.00837433181782191
46,712,2,0.0028089887640449437,0.04,0.5,0.07407407407407407,0.9376760563380281,0.2611111111111111
47,846,22,0.026004728132387706,0.0,0.0,0.0,0.7593777581641659,0.055686123553379534
48,471,36,0.07643312101910828,0.0,0.0,0.0,0.8649425287356322,0.235621889625164
49,476,56,0.11764705882352941,0.03333333333333333,0.017857142857142856,0.023255813953488372,0.6178996598639456,0.13658064284841473
