time_step,n_labeled,n_illicit,illicit_rate,precision,recall,f1,roc_auc,pr_auc
35,1341,182,0.13571961222967935,0.5627009646302251,0.9615384615384616,0.7099391480730223,0.9525571494941641,0.6388448144455985
36,1708,33,0.019320843091334895,0.07878787878787878,0.7878787878787878,0.14325068870523416,0.8814834916327453,0.1106939259648888
37,498,40,0.08032128514056225,0.29357798165137616,0.8,0.42953020134228187,0.8932587336244542,0.32200639748179377
38,756,111,0.14682539682539683,0.35294117647058826,0.8648648648648649,0.5013054830287206,0.8927439066973951,0.5232959318550822
39,1183,81,0.06846999154691462,0.2569444444444444,0.9135802469135802,0.4010840108401084,0.9125887835809191,0.3646898967531667
40,1211,112,0.09248554913294797,0.25196850393700787,0.8571428571428571,0.3894523326572008,0.8523007929286364,0.2915468642700095
41,1132,116,0.10247349823321555,0.23170731707317074,0.8189655172413793,0.3612167300380228,0.7802869603584034,0.20545052543918269
42,2154,239,0.11095636025998143,0.3601340033500838,0.899581589958159,0.5143540669856459,0.9037700601942384,0.4255067611128024
43,1370,24,0.017518248175182483,0.014010507880910683,0.3333333333333333,0.02689075630252101,0.49216815255076773,0.016293264055727202
44,1591,24,0.01508485229415462,0.01598173515981735,0.2916666666666667,0.030303030303030304,0.5422516485854074,0.033280875252846384
45,1221,5,0.004095004095004095,0.010256410256410256,0.4,0.02,0.7921052631578948,0.01288023737593558
46,712,2,0.0028089887640449437,0.0136986301369863,1.0,0.02702702702702703,0.9503521126760563,0.06470588235294118
47,846,22,0.026004728132387706,0.043795620437956206,0.2727272727272727,0.07547169811320754,0.7860767872903796,0.058261094488827284
48,471,36,0.07643312101910828,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.9148786717752234,0.361412340030272
49,476,56,0.11764705882352941,0.25675675675675674,0.3392857142857143,0.2923076923076923,0.8479591836734693,0.33203148146865735
