seed,label,n_test,static_precision,static_recall,static_f1,static_roc_auc,static_pr_auc,adaptive_precision,adaptive_recall,adaptive_f1,adaptive_roc_auc,adaptive_pr_auc,delta_precision,delta_recall,delta_f1,delta_roc_auc,delta_pr_auc,mean_delta_t35_42,mean_delta_t43_49,same_population,t35_identical
42,seed_42_reference,16670,0.4395457581830327,0.6075715604801477,0.5100775193798449,0.875065792509692,0.42959729170778327,0.4968107725017718,0.6472760849492152,0.56214915797915,0.8892688588360652,0.524441244586792,0.057265014318739094,0.03970452446906747,0.05207163859930508,0.014203066326373248,0.09484395287900871,0.0659854016357734,-0.0018014788920281241,True,True
123,seed_123,16670,0.32596934174932374,0.667590027700831,0.4380490760375644,0.883184817757488,0.5105750007922709,0.49842022116903634,0.58264081255771,0.5372498935717327,0.888735410057426,0.5595132343365854,0.1724508794197126,-0.08494921514312093,0.09920081753416832,0.005550592299937929,0.04893823354431448,0.057053875253480296,-0.009284907849760382,True,True
456,seed_456,16670,0.3605794102431454,0.6435826408125577,0.46220159151193635,0.8702946100465733,0.4107004692484449,0.48280701754385963,0.6352723915050785,0.5486443381180224,0.8868386605050814,0.5360385875619191,0.12222760730071425,-0.008310249307479145,0.08644274660608603,0.016544050458508153,0.12533811831347424,0.06832228357260689,0.007481005150908062,True,True
789,seed_789,16670,0.45944148936170215,0.6380424746075716,0.534209509083881,0.8790687317206414,0.4792853509805361,0.5392592592592592,0.6722068328716528,0.5984381422112618,0.8931407017508316,0.566537613299481,0.07981776989755707,0.03416435826408126,0.06422863312738081,0.014071970030190228,0.08725226231894495,0.09197124491769545,-0.0032447750077104903,True,True
2024,seed_2024,16670,0.4815668202764977,0.5789473684210527,0.5257861635220126,0.8799097799199453,0.4807490545659068,0.5301204819277109,0.6500461680517082,0.5839900456242223,0.8948633473653169,0.578071650996465,0.048553661651213165,0.07109879963065557,0.058203882102209725,0.014953567445371574,0.09732259643055818,0.09130641451376009,-0.026052894758841667,True,True
