seed,time_step,static_f1,adaptive_f1,delta_f1
42,35,0.7559055118110236,0.7559055118110236,0.0
42,36,0.3125,0.3384615384615385,0.02596153846153848
42,37,0.4752475247524752,0.6046511627906976,0.1294036380382224
42,38,0.5836065573770491,0.7679324894514767,0.1843259320744276
42,39,0.717948717948718,0.7562189054726368,0.038270187523918864
42,40,0.5275590551181102,0.5576208178438662,0.030061762725756003
42,41,0.5435540069686411,0.6346863468634686,0.0911323398948275
42,42,0.6330097087378641,0.6617375231053605,0.028727814367496385
42,43,0.0,0.0,0.0
42,44,0.0425531914893617,0.03636363636363636,-0.006189555125725339
42,45,0.0,0.0,0.0
42,46,0.07407407407407407,0.09090909090909091,0.01683501683501684
42,47,0.0,0.0,0.0
42,48,0.0,0.0,0.0
42,49,0.023255813953488372,0.0,-0.023255813953488372
123,35,0.7171492204899778,0.7171492204899778,0.0
123,36,0.25870646766169153,0.273224043715847,0.01451757605415549
123,37,0.4297520661157025,0.5098039215686274,0.08005185545292492
123,38,0.5449101796407185,0.6415094339622641,0.09659925432154559
123,39,0.550185873605948,0.6464646464646465,0.09627877285869857
123,40,0.48859934853420195,0.5617021276595745,0.07310277912537255
123,41,0.4837758112094395,0.4927536231884058,0.008977811978966299
123,42,0.6137931034482759,0.7006960556844548,0.08690295223617894
123,43,0.03333333333333333,0.0,-0.03333333333333333
123,44,0.009615384615384616,0.03225806451612903,0.022642679900744415
123,45,0.0,0.0,0.0
123,46,0.03571428571428571,0.18181818181818182,0.14610389610389612
123,47,0.06896551724137931,0.0,-0.06896551724137931
123,48,0.08888888888888889,0.0,-0.08888888888888889
123,49,0.0425531914893617,0.0,-0.0425531914893617
456,35,0.7511737089201878,0.7511737089201878,0.0
456,36,0.2891566265060241,0.3048780487804878,0.015721422274463714
456,37,0.416,0.49019607843137253,0.07419607843137255
456,38,0.5345345345345346,0.6545454545454545,0.12001092001091995
456,39,0.5957446808510638,0.7,0.10425531914893615
456,40,0.4879725085910653,0.53125,0.04327749140893472
456,41,0.48484848484848486,0.6130268199233716,0.12817833507488674
456,42,0.6247755834829444,0.6857142857142857,0.060938702231341346
456,43,0.0,0.0,0.0
456,44,0.019417475728155338,0.037037037037037035,0.017619561308881697
456,45,0.0,0.0,0.0
456,46,0.03636363636363636,0.1111111111111111,0.07474747474747474
456,47,0.04,0.0,-0.04
456,48,0.0,0.0,0.0
456,49,0.0,0.0,0.0
789,35,0.7920792079207921,0.7920792079207921,0.0
789,36,0.34375,0.42016806722689076,0.07641806722689076
789,37,0.47058823529411764,0.6753246753246753,0.2047364400305577
789,38,0.5741935483870968,0.8070175438596491,0.23282399547255228
789,39,0.7128712871287128,0.7653061224489796,0.052434835320266715
789,40,0.5826086956521739,0.6122448979591837,0.029636202307009807
789,41,0.5586206896551724,0.6567164179104478,0.09809572825527535
789,42,0.6824457593688363,0.7240704500978473,0.04162469072901098
789,43,0.0,0.0,0.0
789,44,0.029850746268656716,0.024096385542168676,-0.00575436072648804
789,45,0.0,0.0,0.0
789,46,0.1,0.10526315789473684,0.005263157894736831
789,47,0.0,0.0,0.0
789,48,0.0,0.0,0.0
789,49,0.022222222222222223,0.0,-0.022222222222222223
2024,35,0.7324675324675325,0.7324675324675325,0.0
2024,36,0.35294117647058826,0.39655172413793105,0.04361054766734279
2024,37,0.4752475247524752,0.6075949367088608,0.13234741195638555
2024,38,0.5491525423728814,0.7982456140350878,0.2490930716622064
2024,39,0.7096774193548387,0.7978142076502732,0.08813678829543448
2024,40,0.5625,0.6101694915254238,0.04766949152542377
2024,41,0.5393258426966292,0.664179104477612,0.12485326178098277
2024,42,0.6811279826464208,0.7258687258687259,0.044740743222305035
2024,43,0.0,0.0,0.0
2024,44,0.046511627906976744,0.02702702702702703,-0.019484600879949715
2024,45,0.0,0.0,0.0
2024,46,0.25,0.05263157894736842,-0.19736842105263158
2024,47,0.0,0.0,0.0
2024,48,0.0,0.0,0.0
2024,49,0.0,0.034482758620689655,0.034482758620689655
